StudentID,Gender,Major
113,Male,Robotics Engineering
114,Female,Mechanical Engineering
115,Female,Chemical Engineering
116,Female,Bioinformatics & Computational Biology
117,Female,Mathematical Sciences
118,Female,Biomedical Engineering
119,Male,Biomedical Engineering
120,Male,Robotics Engineering
121,Male,Mechanical Engineering
122,Female,Mechanical Engineering
123,Female,Biomedical Engineering
124,Male,Computer Science
125,Female,Robotics Engineering
126,Male,Biology & Biotechnology
127,Male,Robotics Engineering
128,Female,Industrial Engineering
129,Female,Robotics Engineering
130,Female,Management Engineering
131,Male,Robotics Engineering
132,Male,Aerospace Engineering
133,Male,Computer Science
134,Male,Electrical & Computer Engineering
135,Male,Electrical & Computer Engineering
136,Female,Mechanical Engineering
137,Female,Environmental Engineering
138,Female,Mechanical Engineering
139,Male,Robotics Engineering
140,Male,Robotics Engineering
141,Female,Robotics Engineering
142,Female,Robotics Engineering
143,Female,Biomedical Engineering
144,Male,Robotics Engineering
145,Male,Electrical & Computer Engineering
146,Female,Chemical Engineering
147,Male,Robotics Engineering
148,Female,Biomedical Engineering
149,Male,Chemical Engineering
150,Male,Mechanical Engineering
151,Female,Biomedical Engineering
152,Male,Aerospace Engineering
153,Male,Computer Science
154,Female,Robotics Engineering
155,Female,Electrical & Computer Engineering
156,Female,Biomedical Engineering
157,Male,Chemical Engineering
158,Female,Chemical Engineering
159,Male,Mechanical Engineering
160,Female,Mechanical Engineering
161,Female,Mechanical Engineering
162,Male,Computer Science
163,Female,Civil Engineering
164,Male,Computer Science
165,Female,Robotics Engineering
166,Female,Civil Engineering
167,Female,Chemical Engineering
168,Male,Mechanical Engineering
169,Female,Civil Engineering
170,Female,Bioinformatics & Computational Biology
171,Male,Mechanical Engineering
172,Male,Computer Science
173,Female,Psychological Science
174,Male,Mechanical Engineering
175,Female,Computer Science
176,Male,Robotics Engineering
177,Female,Computer Science
178,Female,Management Information Systems
179,Male,Computer Science
180,Female,Civil Engineering
181,Male,Robotics Engineering
182,Female,Biochemistry
183,Male,Computer Science
184,Male,Robotics Engineering
185,Male,Mechanical Engineering
186,Male,Computer Science
187,Female,Management Engineering
188,Male,Computer Science
189,Male,Mechanical Engineering
190,Female,Biology & Biotechnology
191,Female,Mechanical Engineering
192,Female,Electrical & Computer Engineering
193,Male,Computer Science
194,Female,Biomedical Engineering
195,Female,Mechanical Engineering
196,Female,Interactive Media & Game Development (BA)
197,Female,Biomedical Engineering
198,Male,Computer Science
199,Male,Mechanical Engineering
200,Female,Robotics Engineering
201,Male,Computer Science
202,Male,Computer Science
203,Female,Biomedical Engineering
204,Male,Mechanical Engineering
205,Female,Chemical Engineering
206,Male,Mechanical Engineering
207,Female,Mechanical Engineering
208,Female,Architectural Engineering
209,Male,Robotics Engineering
210,Female,Electrical & Computer Engineering
211,Male,Robotics Engineering
212,Female,Chemistry
213,Male,Biomedical Engineering
214,Female,Architectural Engineering
215,Female,Chemical Engineering
216,Male,Chemical Engineering
217,Female,Robotics Engineering
218,Female,Mathematical Sciences
219,Male,Mechanical Engineering
220,Female,Chemical Engineering
221,Male,Chemical Engineering
222,Male,Mechanical Engineering
223,Male,Robotics Engineering
224,Female,Interactive Media & Game Development
225,Female,Biomedical Engineering
226,Female,Mechanical Engineering
227,Male,Aerospace Engineering
228,Female,Civil Engineering
229,Female,Aerospace Engineering
230,Female,Civil Engineering
231,Male,Mechanical Engineering
232,Male,Computer Science
233,Female,Computer Science
234,Male,Computer Science
235,Female,Aerospace Engineering
236,Female,Chemical Engineering
237,Male,Aerospace Engineering
238,Female,Mechanical Engineering
239,Male,Biomedical Engineering
240,Female,Computer Science
241,Male,Aerospace Engineering
242,Male,Computer Science
243,Female,"Society, Technology, & Policy"
244,Female,Mechanical Engineering
245,Female,Civil Engineering
246,Female,Biology & Biotechnology
247,Male,Mathematical Sciences
248,Female,Bioinformatics & Computational Biology
249,Female,Environmental Engineering
250,Female,Actuarial Mathematics
251,Male,Computer Science
252,Male,Business
253,Male,Mechanical Engineering
254,Male,Computer Science
255,Female,Mechanical Engineering
256,Male,Mechanical Engineering
257,Male,Electrical & Computer Engineering
258,Male,Chemical Engineering
259,Female,Architectural Engineering
260,Female,Electrical & Computer Engineering
261,Male,Environmental Engineering
262,Female,Physics
263,Female,Electrical & Computer Engineering
264,Female,Electrical & Computer Engineering
265,Female,Environmental Engineering
266,Female,Mechanical Engineering
267,Female,Biology & Biotechnology
268,Male,Chemical Engineering
269,Female,Architectural Engineering
270,Male,Chemical Engineering
271,Female,Mechanical Engineering
272,Female,Industrial Engineering
273,Female,Biomedical Engineering
274,Male,Electrical & Computer Engineering
275,Female,Biomedical Engineering
276,Female,Electrical & Computer Engineering
277,Female,Chemistry
278,Male,Biomedical Engineering
279,Male,Electrical & Computer Engineering
280,Male,Electrical & Computer Engineering
281,Male,Civil Engineering
282,Female,Electrical & Computer Engineering
283,Female,Mechanical Engineering
284,Female,Chemical Engineering
285,Female,Mechanical Engineering
286,Male,Industrial Engineering
287,Female,Mechanical Engineering
288,Male,Electrical & Computer Engineering
289,Female,Mechanical Engineering
290,Male,Architectural Engineering
291,Female,Aerospace Engineering
292,Female,Biomedical Engineering
293,Male,Electrical & Computer Engineering
294,Female,Actuarial Mathematics
295,Male,Chemical Engineering
296,Female,Mechanical Engineering
297,Female,Business
298,Male,Electrical & Computer Engineering
299,Female,Biomedical Engineering
300,Female,Electrical & Computer Engineering
301,Female,Civil Engineering
302,Female,Aerospace Engineering
303,Female,Mechanical Engineering
304,Male,Robotics Engineering
305,Female,Mechanical Engineering
306,Female,Actuarial Mathematics
307,Male,Mechanical Engineering
308,Female,Biology & Biotechnology
309,Female,Actuarial Mathematics
310,Female,Robotics Engineering
311,Female,Computer Science
312,Female,Management Engineering
313,Female,Biomedical Engineering
314,Female,Civil Engineering
315,Female,Civil Engineering
316,Female,Mathematical Sciences
317,Female,Biomedical Engineering
318,Female,Actuarial Mathematics
319,Female,Biomedical Engineering
320,Female,Actuarial Mathematics
321,Female,Civil Engineering
322,Female,Biomedical Engineering
323,Female,Computer Science
324,Male,Computer Science
325,Female,Industrial Engineering
326,Female,Bioinformatics & Computational Biology
327,Female,Biomedical Engineering
328,Female,Biomedical Engineering
329,Female,Biochemistry
330,Female,Biomedical Engineering
331,Female,Mechanical Engineering
332,Female,Computer Science
333,Female,Biomedical Engineering
334,Female,Electrical & Computer Engineering
335,Male,Aerospace Engineering
336,Male,Computer Science
337,Male,Civil Engineering
338,Female,Biochemistry
339,Female,Computer Science
340,Female,Biomedical Engineering
341,Male,Biology & Biotechnology
342,Female,Industrial Engineering
343,Male,Chemical Engineering
344,Female,Robotics Engineering
345,Female,Computer Science
346,Female,Mechanical Engineering
347,Female,Biology & Biotechnology
348,Female,Biomedical Engineering
349,Female,Biomedical Engineering
350,Male,Biology & Biotechnology
351,Female,Biomedical Engineering
352,Male,Biomedical Engineering
353,Male,Chemical Engineering
354,Male,Biomedical Engineering
355,Male,Robotics Engineering
356,Female,Mathematical Sciences
357,Male,Computer Science
358,Female,Computer Science
359,Female,Architectural Engineering
360,Female,Computer Science
361,Female,Architectural Engineering
362,Male,Management Information Systems
363,Female,Industrial Engineering
364,Male,Mechanical Engineering
365,Female,Civil Engineering
366,Male,Computer Science
367,Male,Biomedical Engineering
368,Male,Chemical Engineering
369,Male,Aerospace Engineering
370,Male,Robotics Engineering
371,Female,Chemical Engineering
372,Female,Mechanical Engineering
373,Female,Biomedical Engineering
374,Male,Computer Science
375,Female,Chemical Engineering
376,Male,Computer Science
377,Male,Computer Science
378,Male,Biomedical Engineering
379,Male,Industrial Engineering
380,Female,Chemical Engineering
381,Female,Interactive Media & Game Development (BA)
382,Male,Management Information Systems
383,Male,Interactive Media & Game Development
384,Male,Biomedical Engineering
385,Male,Computer Science
386,Male,Interactive Media & Game Development (BA)
387,Female,Biology & Biotechnology
388,Female,Computer Science
389,Male,Biomedical Engineering
390,Male,Robotics Engineering
391,Female,Interactive Media & Game Development
392,Male,Mechanical Engineering
393,Female,Electrical & Computer Engineering
394,Male,Civil Engineering
395,Male,Actuarial Mathematics
396,Female,Computer Science
397,Female,Chemistry
398,Male,Electrical & Computer Engineering
399,Male,Aerospace Engineering
400,Male,Mechanical Engineering
401,Female,Chemical Engineering
402,Male,Mechanical Engineering
403,Male,Aerospace Engineering
404,Female,Computer Science
405,Male,Computer Science
406,Male,Computer Science
407,Male,Mechanical Engineering
408,Female,Environmental Engineering
409,Male,Aerospace Engineering
410,Female,Computer Science
411,Female,Electrical & Computer Engineering
412,Male,Mechanical Engineering
413,Female,Robotics Engineering
