ProjectID,Capacity
1,19
2,24
3,12
4,16
5,16
6,11
7,24
8,24
9,24
10,24
11,12
12,12
13,24
14,16
15,24
16,16
17,24
18,20
19,24
20,24
21,24
22,24
23,14
24,24
25,24
26,24
27,24
28,12
29,19
30,16
31,26
32,24
33,24
34,24
35,24
36,24
37,26
38,11
39,14
40,25
41,24
42,24
43,7
44,9
45,6
46,16
47,24
