ProjectID,Capacity
1,24
2,8
3,24
4,8
5,24
6,24
7,8
8,7
9,24
10,24
11,24
12,16
13,25
14,12
15,24
16,14
17,23
18,24
19,4
20,24
21,28
22,28
23,23
24,16
25,25
26,24
27,16
28,24
29,24
30,6
31,24
32,24
33,25
34,24
35,24
36,24
37,24
38,24
39,16
40,24
41,8
42,24
43,24
44,20
45,16
46,24
