StudentID,Gender,Major
1,Male,AREN
2,Male,ME
3,Male,CS
4,Male,ME
5,Female,RBE
6,Male,CS
7,Male,IMGD
8,Male,CM
9,Male,CS
10,Male,ME
11,Male,RBE
12,Female,ME
13,Male,CM
14,Male,CS
15,Female,CE
16,Male,ECE
17,Female,BC
18,Male,CS
19,Female,IMGD
20,Male,ME
21,Female,ME
22,Female,ME
23,Male,ME
24,Male,ME
25,Female,BE
26,Female,BE
27,Male,ECE
28,Male,ME
29,Male,CS
30,Male,CS
31,Female,BE
32,Male,ME
33,Male,AE
34,Female,RBE
35,Female,CM
36,Male,BE
37,Male,CS
38,Male,ECS
39,Male,ECE
40,Male,ME
41,Female,BIO
42,Male,RBE
43,Male,CS
44,Male,CS
45,Male,CS
46,Male,CM
47,Male,PH
48,Male,ME
49,Male,MAC
50,Male,ME
51,Female,CE
52,Female,ME
53,Male,CS
54,Male,CE
55,Female,AREN
56,Female,CM
57,Female,PSS
58,Female,CS
59,Male,ED
60,Male,CS
61,Female,BE
62,Male,CS
63,Female,CE
64,Female,CE
65,Male,ECE
66,Male,ME
67,Female,RBE
68,Male,AE
69,Female,EV
70,Female,BE
71,Female,CH
72,Female,BIO
73,Male,CS
74,Male,CS
75,Female,BE
76,Male,MIS
77,Female,ME
78,Male,MGE
79,Female,CS
80,Male,RBE
81,Male,BE
82,Male,CS
83,Female,CM
84,Female,BE
85,Male,ME
86,Male,ME
87,Male,BE
88,Male,RBE
89,Male,ECE
90,Male,ME
91,Male,CM
92,Male,ECE
93,Male,ME
94,Female,RBE
95,Female,BE
96,Male,IMGD
97,Female,BIO
98,Female,ECE
99,Female,IE
100,Female,BE
101,Female,BE
102,Female,CM
103,Female,IE
104,Male,ECE
105,Male,CS
106,Male,ME
107,Male,CS
108,Male,CE
109,Male,AE
110,Male,CS
111,Female,CM
112,Male,ME
113,Female,BE
114,Male,CM
115,Male,PH
116,Female,CM
117,Female,RBE
118,Male,RBE
119,Male,RBE
120,Male,BE
121,Male,RBE
122,Male,ME
123,Female,BE
124,Male,CS
125,Male,CS
126,Male,CS
127,Female,ND
128,Male,MA
129,Male,AE
130,Male,MGE
131,Female,BE
132,Male,ME
133,Female,BE
134,Male,RBE
135,Male,ECE
136,Male,RBE
137,Male,ME
138,Female,CM
139,Male,CE
140,Female,ME
141,Female,CE
142,Male,ECE
143,Female,MGE
144,Female,BE
145,Male,CM
146,Male,ME
147,Female,MAC
148,Male,AE
149,Male,ME
150,Female,CH
151,Female,BE
152,Female,BIO
153,Male,MGE
154,Male,BE
155,Female,BE
156,Female,BE
157,Male,IE
158,Male,ECE
159,Male,CS
160,Male,MGE
161,Female,BCB
162,Female,RBE
163,Male,ME
164,Male,RBE
165,Female,BE
166,Male,RBE
167,Male,MGE
168,Female,BE
169,Female,MGE
170,Female,ME
171,Female,EV
172,Male,ME
173,Male,CS
174,Male,ECE
175,Male,EV
176,Male,ME
177,Male,ME
178,Male,CS
179,Male,CM
180,Male,CS
181,Female,CS
182,Male,RBE
183,Male,CM
184,Male,CS
185,Female,BIO
186,Male,RBE
187,Female,IE
188,Male,BIO
189,Male,AE
190,Male,CE
191,Male,ME
192,Female,ME
193,Male,ME
194,Male,ECE
195,Female,MAC
196,Female,MIS
197,Female,BIO
198,Male,BE
199,Male,CS
200,Female,CS
201,Female,RBE
202,Male,BC
203,Female,MA
204,Female,BE
205,Female,IE
206,Male,RBE
207,Male,CS
208,Male,RBE
209,Male,AE
210,Female,CM
211,Female,ME
212,Male,AE
213,Male,CS
214,Male,ME
215,Male,RBE
216,Male,ME
217,Female,ECE
218,Female,CE
219,Male,AE
220,Male,ME
221,Male,ME
222,Male,ME
223,Male,CM
224,Female,BE
225,Male,ME
226,Male,CS
227,Male,BE
228,Male,CM
229,Male,BE
230,Female,BE
231,Male,ME
232,Male,BE
233,Female,CS
234,Male,AE
235,Female,CS
236,Female,ME
237,Male,BE
238,Female,BIO
239,Male,CS
240,Male,CS
241,Female,RBE
242,Male,RBE
243,Female,CS
244,Female,ME
245,Female,BC
246,Male,CE
247,Male,ME
248,Male,IMGD
249,Male,BE
250,Female,ME
251,Male,ME
252,Female,ECE
253,Female,RBE
254,Male,AE
255,Male,MG
256,Female,BE
257,Female,RBE
258,Female,ME
259,Female,ECE
260,Male,CS
261,Male,ECE
262,Female,BIO
263,Male,RBE
264,Female,ME
265,Male,ME
266,Male,AE
267,Male,ED
268,Male,CM
269,Male,ED
270,Female,CM
271,Male,RBE
272,Male,BU
273,Male,BE
274,Male,ME
275,Male,AE
276,Male,RBE
277,Male,RBE
278,Male,CS
279,Male,ME
280,Male,CS
281,Male,ECE
282,Male,ECE
283,Female,CM
284,Male,BE
285,Male,MGE
286,Female,BE
287,Male,CE
288,Male,CS
289,Male,ME
290,Male,ECE
291,Male,RBE
292,Male,CS
293,Male,ME
294,Female,ME
295,Female,MGE
296,Female,ECE
297,Male,BE
298,Female,ME
299,Male,RBE
300,Male,ECE
301,Male,EV
302,Male,ECE
303,Male,ECE
304,Male,ECE
305,Male,ME
306,Male,AE
307,Male,AE
308,Female,CM
309,Male,ME
310,Male,CS
311,Male,CM
312,Male,RBE
313,Male,CS
314,Male,ECE
315,Male,CE
316,Male,MA
317,Female,BIO
318,Female,MGE
319,Female,BE
320,Male,BU
321,Female,MGE
322,Male,CE
323,Male,AE
324,Male,ME
325,Male,RBE
326,Female,CS
327,Female,ME
328,Male,ME
329,Male,CS
330,Male,BE
331,Male,ECE
332,Male,ME
333,Male,MAC
334,Female,ME
335,Male,CE
336,Male,ME
337,Female,CM
338,Female,ME
339,Female,ME
340,Female,BE
341,Female,AE
342,Female,BE
343,Male,ME
344,Female,IE
345,Female,CM
346,Male,ECE
347,Male,BCB
348,Male,IE
349,Female,BC
350,Male,AE
351,Male,BIO
352,Female,ME
353,Female,CS
354,Male,AE
355,Female,ST
356,Male,BIO
357,Male,MAC
358,Male,CE
359,Female,ME
360,Male,ME
361,Male,RBE
362,Male,ME
363,Male,IE
364,Female,AE
365,Male,CE
366,Male,CS
367,Male,CS
368,Male,ME
369,Male,ME
370,Male,ECE
371,Male,CS
372,Female,BIO
373,Female,BC
374,Female,MA
375,Male,ECE
376,Female,BE
377,Male,CE
378,Male,IMGD
379,Female,CM
380,Male,ME
381,Male,RBE
382,Male,CM
383,Female,EV
384,Male,RBE
385,Male,BE
386,Female,ECE
387,Male,EV
388,Female,IE
389,Male,CS
390,Male,CE
391,Male,ME
392,Female,CS
393,Male,CS
394,Male,ECE
395,Female,IE
396,Female,EV
397,Female,CE
398,Male,CS
399,Male,ECE
400,Female,MA
401,Male,ECE
402,Male,ECE
403,Male,CS
404,Female,CM
405,Male,BIO
406,Male,CS
407,Male,CM
408,Male,ME
409,Male,ME
410,Male,AREN
411,Female,IE
412,Male,CM
413,Male,ME
414,Female,ME
415,Male,ME
416,Female,CS
417,Male,BE
418,Male,BE
419,Male,ME
420,Male,CE
421,Male,BE
422,Male,ME
423,Female,ME
424,Male,ME
425,Male,BE
426,Male,CM
427,Male,CS
428,Male,AE
429,Male,ECE
430,Female,BE
431,Male,AE
432,Male,CE
433,Female,BE
434,Female,AE
435,Male,CS
436,Male,RBE
437,Female,RBE
438,Male,ECE
439,Male,RBE
440,Female,MA
441,Male,ME
442,Male,ECE
443,Male,CS
444,Female,BIO
445,Female,CM
446,Female,RBE
447,Male,RBE
448,Female,CM
449,Male,ME
450,Male,CS
451,Female,MAC
452,Male,CM
453,Male,ME
454,Female,CM
455,Male,AREN
456,Female,BIO
457,Male,CM
458,Male,CE
459,Female,CS
460,Female,MGE
461,Male,CS
462,Female,BE
463,Male,ME
464,Female,IE
465,Male,BE
466,Male,CS
467,Female,CS
468,Male,RBE
469,Female,ME
470,Male,RBE
471,Female,MA
472,Female,ME
473,Female,CM
474,Male,BE
475,Male,IMGD
476,Male,CE
477,Male,MAC
478,Male,CS
479,Female,RBE
480,Female,ECE
481,Female,BC
482,Female,ECE
483,Male,RBE
484,Female,ME
485,Female,BE
486,Female,BIO
487,Female,CE
488,Male,ECE
489,Male,CS
490,Male,ECE
491,Male,RBE
492,Male,BE
493,Male,CM
494,Male,RBE
495,Male,ECE
496,Female,BE
497,Female,BE
498,Male,ME
499,Female,CM
500,Male,ECE
501,Male,CS
502,Male,IMGD
503,Male,RBE
504,Male,AE
505,Male,ECE
506,Male,CM
507,Male,RBE
508,Male,ME
509,Male,CS
510,Female,EV
511,Male,ECE
512,Male,MGE
513,Male,ME
514,Female,ME
515,Female,MGE
516,Male,BE
517,Male,ME
518,Female,BIO
519,Male,AE
520,Female,CM
521,Female,MAC
522,Male,CE
523,Female,ME
524,Male,ME
525,Female,ME
526,Male,AE
527,Male,BE
528,Male,IE
529,Female,BCB
530,Female,ME
531,Female,ME
532,Female,IE
533,Male,ECE
534,Female,CS
535,Female,ME
536,Male,CS
537,Female,CM
538,Female,CE
539,Male,ME
540,Male,ME
541,Male,ME
542,Female,BE
543,Female,BC
544,Male,MGE
545,Male,AE
546,Male,CM
547,Female,ME
548,Male,ME
549,Male,CS
550,Male,RBE
551,Female,BIO
552,Female,BIO
553,Female,BIO
554,Male,BE
555,Female,CE
556,Male,ME
557,Male,IMGD
558,Male,CS
559,Male,CS
560,Male,ME
561,Male,RBE
562,Male,CS
563,Female,CM
564,Male,ME
565,Male,CS
566,Male,ECE
567,Male,ME
568,Female,APH
569,Male,BE
570,Male,CS
571,Male,RBE
572,Male,CM
573,Male,CS
574,Male,CM
575,Male,ME
576,Female,BE
577,Male,MAC
578,Female,EV
579,Male,RBE
580,Female,ECE
581,Male,ECE
582,Male,ME
583,Female,ME
584,Male,CS
585,Male,ME
586,Male,CS
587,Female,ME
588,Female,CS
589,Male,AE
590,Female,BIO
591,Male,RBE
592,Female,AE
593,Male,MA
594,Female,AREN
595,Male,CE
596,Male,BE
597,Male,CS
598,Female,ME
599,Male,ME
600,Female,BE
601,Female,ME
602,Male,AE
603,Male,ME
604,Female,ME
605,Male,CE
