StudentID,Gender,Major
1,Female,Aerospace Engineering
2,Male,Management Information Systems
3,Male,Biomedical Engineering
4,Female,Biology and Biotechnology
5,Female,Industrial Engineering
6,Male,Computer Science
7,Female,Mechanical Engineering
8,Male,Computer Science
9,Male,Biology and Biotechnology
10,Male,Computer Science
11,Female,Biochemistry
12,Male,Mechanical Engineering
13,Female,Mechanical Engineering
14,Female,Computer Science
15,Female,Biology and Biotechnology
16,Female,Chemical Engineering
17,Female,Biomedical Engineering
18,Male,Aerospace Engineering
19,Female,Computer Science
20,Female,Mechanical Engineering
21,Female,Biology and Biotechnology 
22,Female,Computer Science
23,Male,Civil Engineering
24,Male,Physics and Computer Science
25,Male,Mechanical Engineering
26,Male,Electrical &amp; Computer Eng.
27,Female,Chemical Engineering
28,Female,Biomedical Engineering
29,Female,Computer Science
30,Female,Computer Science
31,Female,Mechanical Engineering
32,Female,Biomedical Engineering
33,Male,Applied Physics
34,Male,Computer Science
35,Male,Civil Engineering
36,Female,Mechanical Engineering
37,Female,Biomedical Engineering
38,Male,Aerospace Engineering
39,Male,Robotics Engineering
40,Male,Computer Science
41,Male,Robotics Engineering
42,Male,Mechanical Engineering
43,Male,Civil Engineering
44,Female,Biomedical Engineering
45,Female,Biology and Biotechnology
46,Male,Industrial Engineering
47,Male,Bioinformatics &amp; Computat Bio
48,Male,Electrical &amp; Computer Eng.
49,Male,Physics
50,Female,Mechanical Engineering
51,Male,Mechanical Engineering
52,Female,Computer Science
53,Female,Biology and Biotechnology
54,Male,Robotics Engineering
55,Female,Biochemistry
56,Female,Biochemistry
57,Male,Robotics Engineering
58,Female,Mechanical Engineering
59,Male,Biomedical Engineering
60,Female,Chemical Engineering
61,Male,Mechanical Engineering
62,Male,Computer Science
63,Female,Chemical Engineering
64,Female,Biomedical Engineering
65,Male,Robotics Engineering
66,Male,Computer Science
67,Female,Biology and Biotechnology
68,Female,Environmental Engineering
69,Male,Mechanical Engineering
70,Male,Mechanical Engineering
71,Female,Biomedical Engineering
72,Female,Biomedical Engineering
73,Male,Mechanical Engineering
74,Male,Chemical Engineering
75,Female,Biomedical Engineering
76,Female,Computer Science
77,Female,Aerospace Engineering
78,Male,Mechanical Engineering
79,Female,Environmental Engineering
80,Female,Chemical Engineering
81,Female,Industrial Engineering
82,Female,Chemical Engineering
83,Female,Biomedical Engineering
84,Female,Biomedical Engineering
85,Female,Chemical Engineering
86,Male,Mechanical Engineering
87,Female,Environmental Engineering
88,Female,Chemical Engineering
89,Female,Mechanical Engineering
90,Male,Mechanical Engineering
91,Female,Biomedical Engineering
92,Female,Chemical Engineering
93,Female,Mechanical Engineering
94,Female,Psychological Science
95,Female,Biomedical Engineering
96,Male,Chemistry
97,Female,Actuarial Mathematics
98,Female,Biology and Biotechnology
99,Female,Mechanical Engineering
100,Female,Biomedical Engineering
101,Female,Computer Science
102,Male,Aerospace Engineering
103,Female,Computer Science
104,Male,Mechanical Engineering
105,Female,Engineering - To Be Declared
106,Female,Actuarial Mathematics
107,Female,Mathematical Sciences
108,Female,Biomedical Engineering
109,Male,Computer Science
110,Female,Biomedical Engineering
111,Female,Mechanical Engineering
112,Female,Mathematical Sciences
113,Female,Physics
114,Female,Chemical Engineering
115,Female,Mechanical Engineering
116,Female,Physics
117,Female,Mechanical Engineering
118,Female,Biomedical Engineering
119,Female,Biomedical Engineering
120,Male,Biomedical Engineering
121,Male,Mechanical Engineering
122,Male,Robotics Engineering
123,Male,Robotics Engineering
124,Female,Aerospace Engineering
125,Female,Biomedical Engineering
126,Male,Aerospace Engineering
127,Male,Mechanical Engineering
128,Female,Chemical Engineering
129,Female,Chemistry
130,Male,Civil Engineering
131,Male,Electrical &amp; Computer Eng.
132,Female,Industrial Engineering
133,Female,Electrical &amp; Computer Eng.
134,Female,Actuarial Mathematics
135,Female,Industrial Engineering
136,Female,Biomedical Engineering
137,Female,Biomedical Engineering
138,Female,Computer Science
139,Female,Electrical &amp; Computer Eng.
140,Female,Interactive Media &amp; Game Dev
141,Female,Mechanical Engineering
142,Female,Environmental Engineering
143,Female,Mathematical Sciences
144,Male,Biomedical Engineering
145,Male,Mechanical Engineering
146,Female,Architectural Engineering
147,Male,Aerospace Engineering
148,Female,Computer Science
149,Female,Mechanical Engineering
150,Male,Electrical &amp; Computer Eng.
151,Male,Computer Science
152,Male,Electrical &amp; Computer Eng.
153,Female,Environmental Engineering
154,Male,Computer Science
155,Female,Aerospace Engineering
156,Male,Chemical Engineering
157,Male,Chemical Engineering
158,Male,Mechanical Engineering
159,Male,Robotics Engineering
160,Female,Robotics Engineering
161,Female,Chemical Engineering
162,Male,Computer Science
163,Male,Civil Engineering
164,Female,Biochemistry
165,Male,Civil Engineering
166,Male,Chemical Engineering
167,Male,Computer Science
168,Female,Architectural Engineering
169,Female,Undecided
170,Male,Aerospace Engineering
171,Male,Mechanical Engineering
172,Female,Biochemistry
173,Male,Biomedical Engineering
174,Male,Biomedical Engineering
175,Female,Biomedical Engineering
176,Female,Biomedical Engineering
177,Female,Biomedical Engineering
178,Female,Biomedical Engineering
179,Male,Management Engineering
180,Male,Electrical &amp; Computer Eng.
181,Female,Mechanical Engineering
182,Male,Computer Science
183,Female,Biomedical Engineering
