ProjectID,Capacity
1,20
2,4
3,24
4,24
5,18
6,4
7,24
8,24
9,24
10,26
11,24
12,24
13,24
14,24
15,26
16,16
17,20
18,24
19,16
20,24
21,16
22,24
23,24
24,24
25,24
26,4
27,17
28,4
29,25
30,24
31,25
32,24
33,25
34,24
35,24
36,26
37,12
38,25
39,24
40,25
41,24
42,24
43,25
44,25
45,13
46,28
47,26
48,24
49,27
50,24
51,16
52,24
53,24
54,24
55,4
56,16
57,26
